Property_Type,Location,Lat-Lon,Price_USD,Area_sqm,Bedrooms,Bathrooms,Year_Built,Parking_Spaces
Apartment,"Gambella, Tier-kidi, Block 5",,"$135,080",382,3,3.0,1972.0,0.0
Condominium,"Adama, Goro, Rural Kebele 29","(8.57373, 39.29608)","$138,472",278 sqm,zero,0.0,1980.0,0.0
Apartment,"Mekelle, Hawelti, Kebele 7","13.538823,39.507267",230759,332,2,2.0,,2.0
Villa,"Mekelle, Hawelti, Kebele 6","13.551179,39.554344","$204,094",315,zero,0.0,1979.0,2.0
Apartment,"Adama, Goro, Rural Kebele 29","(8.58756, 39.17794)","$172,587",234,1,1.0,1991.0,0.0
Villa,"Assosa, Menge, Village Unit 1","10.039164,34.556584",124484,166,zero,0.0,1990.0,0.0
Condominium,"Gambella, Newland, Zone 3","(8.25218, 34.54653)",79210,179,zero,0.0,1984.0,0.0
Apartment,"Adama, Dabe, Kebele 9","8.514655,39.281285",249634,474 sqm,3,3.0,2023.0,2.0
Villa,"Gondar, Arada, Zone 1","12.653183,37.519854",339620,347 sqm,3,2.0,1975.0,1.0
Villa,"Dire Dawa, Goro, Sector 2","9.551971,41.798023","$397,957",450,3,3.0,1983.0,
Apartment,"Dire Dawa, Goro, Sector 1",Lon: 41.8288 / Lat: 9.5833,130102,227,zero,1.0,1976.0,0.0
Villa,"Mekelle, Kedamay Weyane, Community 4","13.485184,39.544980",231950,272,1,1.0,1986.0,0.0
Villa,"Assosa, Menge, Village Unit 3",Lon: 34.5438 / Lat: 10.0898,199766,346,1,1.0,1988.0,1.0
Apartment,"Adama, Dabe, Kebele 9","8.504062,39.230930","$210,394",293,zero,0.0,2022.0,0.0
Apartment,"Mekelle, Hawelti, Kebele 13",Lon: 39.4617 / Lat: 13.4889,114504,218 sqm,zero,0.0,2012.0,0.0
Villa,"Addis Ababa, Bole, Kebele 03","9.001656,38.768881",904886,500,3,2.0,2024.0,3.0
Villa,"Gondar, Fasiledes, Kebele 5","12.626398,37.405727",371286,330,1,1.0,1994.0,0.0
Villa,"Harar, Amir-Nur, Block 10","9.330149,42.168705",229133,318 sqm,2,2.0,,2.0
Villa,"Bahir Dar, Meshenti, Village 11","11.586858,37.366193","$184,727",185,zero,0.0,1982.0,0.0
Apartment,"Dire Dawa, Kezira, Kebele 9",Lon: 41.8047 / Lat: 9.5194,"$127,886",345,1,1.0,1963.0,0.0
Villa,"Addis Ababa, Lideta, Zone 7","(9.02488, 38.69241)",356889,268,2,1.0,1960.0,0.0
Apartment,"Addis Ababa, Kirkos, Kebele 03","9.129749,38.769276",473529,380,2,2.0,,0.0
Apartment,"Dire Dawa, Goro, Sector 4",Lon: 41.8183 / Lat: 9.5992,"$285,385",375 sqm,2,2.0,2007.0,2.0
Apartment,"Gondar, Arada, Zone 8","12.682199,37.439592",231754,371,1,2.0,1999.0,1.0
Condominium,"Addis Ababa, Kirkos, Kebele 01",,213650,219,zero,0.0,2001.0,0.0
Condominium,"Assosa, Sherkole, District 1","10.090503,34.491690",88503,288,zero,0.0,1988.0,0.0
Condominium,"Gambella, Tier-kidi, Block 5",Lon: 34.5443 / Lat: 8.3238,56574,150,zero,0.0,1984.0,0.0
Condominium,"Dire Dawa, Kezira, Kebele 4","9.527866,41.875160",148403,318,2,2.0,1979.0,1.0
Villa,"Adama, Dabe, Kebele 8","8.535866,39.266166",208479,246,zero,0.0,1985.0,1.0
Apartment,"Harar, Abadir, Zone 3","9.295704,42.135657","$123,872",232,zero,0.0,1990.0,0.0
Apartment,"Dire Dawa, Kezira, Kebele 1","9.608855,41.915012",262385,391,2,2.0,1998.0,0.0
Villa,"Dire Dawa, Goro, Sector 9","9.578975,41.779388",260894,296,1,0.0,1988.0,0.0
Condominium,"Addis Ababa, Bole, Kebele 10",Lon: 38.6938 / Lat: 9.0786,157926,224 sqm,1,1.0,1960.0,0.0
Apartment,"Gondar, Fasiledes, Kebele 4","12.596356,37.517688",228699,295 sqm,3,3.0,1977.0,2.0
Villa,"Addis Ababa, Arada, Woreda 08 Admin","9.025894,38.748691","$628,994",387 sqm,3,2.0,2001.0,0.0
Apartment,"Gambella, Newland, Zone 1","8.181163,34.583163","$163,439",404,3,4.0,1968.0,1.0
Villa,"Addis Ababa, Lideta, Zone 1","9.005731,38.782053",259658,235,zero,0.0,1960.0,0.0
Condominium,"Gambella, Tier-kidi, Block 5","(8.24183, 34.59509)",89744,261,2,2.0,1967.0,1.0
Condominium,"Bahir Dar, Meshenti, Village 1","11.647741,37.287797","$303,416",457 sqm,3,4.0,2024.0,4.0
